# E(eV)          SpinUpDos SpinDownDos
-65.789421274821222596  0.000000000000000000 0.000000000000000000
-65.779421274904265715  0.000000000000000000 0.000000000000000000
-65.769421274987308834  0.000000000000000000 0.000000000000000000
-65.759421275070366164  0.000000000000000000 0.000000000000000000
-65.749421275153409283  0.000000000000000000 0.000000000000000000
-65.739421275236466613  0.000000000000000000 0.000000000000000000
-65.729421275319509732  0.000000000000000000 0.000000000000000000
-65.719421275402552851  0.000000000000000000 0.000000000000000000
-65.709421275485610181  0.000000000000000000 0.000000000000000000
-65.699421275568653300  0.000000000000000000 0.000000000000000000
-65.689421275651710630  0.000000000000000000 0.000000000000000000
-65.679421275734767960  0.000000000000000000 0.000000000000000000
-65.669421275817811079  0.000000000000000000 0.000000000000000000
-65.659421275900868409  0.000000000000000000 0.000000000000000000
-65.649421275983911528  0.000000000000000000 0.000000000000000000
-65.639421276066968858  0.000000000000000000 0.000000000000000000
-65.629421276150011977  0.000000000000000000 0.000000000000000000
-65.619421276233055096  0.000000000000000000 0.000000000000000000
-65.609421276316112426  0.000000000000000000 0.000000000000000000
-65.599421276399155545  0.000000000000000000 0.000000000000000000
-65.589421276482212875  0.000000000000000000 0.000000000000000000
-65.579421276565255994  0.000000000000000000 0.000000000000000000
-65.569421276648299113  0.000000000000000000 0.000000000000000000
-65.559421276731356443  0.000000000000000000 0.000000000000000000
-65.549421276814399562  0.000000000000000000 0.000000000000000000
-65.539421276897456892  0.000000000000000000 0.000000000000000000
-65.529421276980500011  0.000000000000000000 0.000000000000000000
-65.519421277063543130  0.000000000000000000 0.000000000000000000
-65.509421277146600460  0.000000000000000000 0.000000000000000000
-65.499421277229643579  0.000000000000000000 0.000000000000000000
-65.489421277312700909  0.000000000000000000 0.000000000000000000
-65.479421277395744028  0.000000000000000000 0.000000000000000000
-65.469421277478787147  0.000000000000000000 0.000000000000000000
-65.459421277561844477  0.000000000000000000 0.000000000000000000
-65.449421277644887596  0.000000000000000000 0.000000000000000000
-65.439421277727944926  0.000000000000000000 0.000000000000000000
-65.429421277810988045  0.000000000000000000 0.000000000000000000
-65.419421277894045375  0.000000000000000000 0.000000000000000000
-65.409421277977088494  0.000000000000000000 0.000000000000000000
-65.399421278060131613  0.000000000000000000 0.000000000000000000
-65.389421278143188943  0.000000000000000000 0.000000000000000000
-65.379421278226232062  0.000000000000000000 0.000000000000000000
-65.369421278309289391  0.000000000000000000 0.000000000000000000
-65.359421278392332511  0.000000000000000000 0.000000000000000000
-65.349421278475375630  0.000000000000000000 0.000000000000000000
-65.339421278558432959  0.000000000000000000 0.000000000000000000
-65.329421278641476079  0.000000000000000000 0.000000000000000000
-65.319421278724533408  0.000000000000000000 0.000000000000000000
-65.309421278807576527  0.000000000000000000 0.000000000000000000
-65.299421278890619647  0.000000000000000000 0.000000000000000000
-65.289421278973676976  0.000000000000000000 0.000000000000000000
-65.279421279056720095  0.000000000000000000 0.000000000000000000
-65.269421279139777425  0.000000000000000000 0.000000000000000000
-65.259421279222820544  0.000000000000000000 0.000000000000000000
-65.249421279305877874  0.000000000000000000 0.000000000000000000
-65.239421279388920993  0.000000000000000000 0.000000000000000000
-65.229421279471964112  0.000000000000000000 0.000000000000000000
-65.219421279555021442  0.000000000000000000 0.000000000000000000
-65.209421279638064561  0.000000000000000000 0.000000000000000000
-65.199421279721121891  0.000000000000000000 0.000000000000000000
-65.189421279804165010  0.000000000000000000 0.000000000000000000
-65.179421279887208129  0.000000000000000000 0.000000000000000000
-65.169421279970265459  0.000000000000000000 0.000000000000000000
-65.159421280053322789  0.000000000000000000 0.000000000000000000
-65.149421280136365908  0.000000000000000000 0.000000000000000000
-65.139421280219423238  0.000000000000000000 0.000000000000000000
-65.129421280302466357  0.000000000000000000 0.000000000000000000
-65.119421280385523687  0.000000000000000000 0.000000000000000000
-65.109421280468566806  0.000000000000000000 0.000000000000000000
-65.099421280551624136  0.000000000000000000 0.000000000000000000
-65.089421280634667255  0.000000000000000000 0.000000000000000000
-65.079421280717710374  0.000000000000000000 0.000000000000000000
-65.069421280800767704  0.000000000000000000 0.000000000000000000
-65.059421280883810823  0.000000000000000000 0.000000000000000000
-65.049421280966868153  0.000000000000000000 0.000000000000000000
-65.039421281049911272  0.000000000000000000 0.000000000000000000
-65.029421281132954391  0.000000000000000000 0.000000000000000000
-65.019421281216011721  0.000000000000000000 0.000000000000000000
-65.009421281299054840  0.000000000000000000 0.000000000000000000
-64.999421281382112170  0.000000000000000000 0.000000000000000000
-64.989421281465155289  0.000000000000000000 0.000000000000000000
-64.979421281548198408  0.000000000000000000 0.000000000000000000
-64.969421281631255738  0.000000000000000000 0.000000000000000000
-64.959421281714298857  0.000000000000000000 0.000000000000000000
-64.949421281797356187  0.000000000000000000 0.000000000000000000
-64.939421281880399306  0.000000000000000000 0.000000000000000000
-64.929421281963442425  0.000000000000000000 0.000000000000000000
-64.919421282046499755  0.000000000000000000 0.000000000000000000
-64.909421282129542874  0.000000000000000000 0.000000000000000000
-64.899421282212600204  0.000000000000000000 0.000000000000000000
-64.889421282295643323  0.000000000000000000 0.000000000000000000
-64.879421282378700653  0.000000000000000000 0.000000000000000000
-64.869421282461743772  0.000000000000000000 0.000000000000000000
-64.859421282544786891  0.000000000000000000 0.000000000000000000
-64.849421282627844221  0.000000000000000000 0.000000000000000000
-64.839421282710887340  0.000000000000000000 0.000000000000000000
-64.829421282793944670  0.000000000000000000 0.000000000000000000
-64.819421282876987789  0.000000000000000000 0.000000000000000000
-64.809421282960030908  0.000000000000000000 0.000000000000000000
-64.799421283043088238  0.000000000000000000 0.000000000000000000
-64.789421283126131357  0.000000000000000000 0.000000000000000000
-64.779421283209188687  0.000000000000000000 0.000000000000000000
-64.769421283292231806  0.000000000000000000 0.000000000000000000
-64.759421283375274925  0.000000000000000000 0.000000000000000000
-64.749421283458332255  0.000000000000000000 0.000000000000000000
-64.739421283541375374  0.000000000000000000 0.000000000000000000
-64.729421283624432704  0.000000000000000000 0.000000000000000000
-64.719421283707475823  0.000000000000000000 0.000000000000000000
-64.709421283790518942  0.000000000000000000 0.000000000000000000
-64.699421283873576272  0.000000000000000000 0.000000000000000000
-64.689421283956619391  0.000000000000000000 0.000000000000000000
-64.679421284039676721  0.000000000000000000 0.000000000000000000
-64.669421284122719840  0.000000000000000000 0.000000000000000000
-64.659421284205777170  0.000000000000000000 0.000000000000000000
-64.649421284288820289  0.000000000000000000 0.000000000000000000
-64.639421284371863408  0.000000000000000000 0.000000000000000000
-64.629421284454920738  0.000000000000000000 0.000000000000000000
-64.619421284537963857  0.000000000000000000 0.000000000000000000
-64.609421284621021186  0.000000000000000000 0.000000000000000000
-64.599421284704064306  0.000000000000000000 0.000000000000000000
-64.589421284787107425  0.000000000000000000 0.000000000000000000
-64.579421284870164754  0.000000000000000000 0.000000000000000000
-64.569421284953207874  0.000000000000000000 0.000000000000000000
-64.559421285036265203  0.000000000000000000 0.000000000000000000
-64.549421285119308322  0.000000000000000000 0.000000000000000000
-64.539421285202351442  0.000000000000000000 0.000000000000000000
-64.529421285285408771  0.000000000000000000 0.000000000000000000
-64.519421285368451890  0.000000000000000000 0.000000000000000000
-64.509421285451509220  0.000000000000000000 0.000000000000000000
-64.499421285534552339  0.000000000000000000 0.000000000000000000
-64.489421285617609669  0.000000000000000000 0.000000000000000000
-64.479421285700652788  0.000000000000000000 0.000000000000000000
-64.469421285783695907  0.000000000000000000 0.000000000000000000
-64.459421285866753237  0.000000000000000000 0.000000000000000000
-64.449421285949796356  0.000000000000000000 0.000000000000000000
-64.439421286032853686  0.000000000000000000 0.000000000000000000
-64.429421286115896805  0.000000000000000000 0.000000000000000000
-64.419421286198939924  0.000000000000000000 0.000000000000000000
-64.409421286281997254  0.000000000000000000 0.000000000000000000
-64.399421286365040373  0.000000000000000000 0.000000000000000000
-64.389421286448097703  0.000000000000000000 0.000000000000000000
-64.379421286531140822  0.000000000000000000 0.000000000000000000
-64.369421286614183941  0.000000000000000000 0.000000000000000000
-64.359421286697241271  0.000000000000000000 0.000000000000000000
-64.349421286780284390  0.000000000000000000 0.000000000000000000
-64.339421286863341720  0.000000000000000000 0.000000000000000000
-64.329421286946384839  0.000000000000000000 0.000000000000000000
-64.319421287029427958  0.000000000000000000 0.000000000000000000
-64.309421287112485288  0.000000000000000000 0.000000000000000000
-64.299421287195528407  0.000000000000000000 0.000000000000000000
-64.289421287278585737  0.000000000000000000 0.000000000000000000
-64.279421287361628856  0.000000000000000000 0.000000000000000000
-64.269421287444686186  0.000000000000000000 0.000000000000000000
-64.259421287527729305  0.000000000000000000 0.000000000000000000
-64.249421287610772424  0.000000000000000000 0.000000000000000000
-64.239421287693829754  0.000000000000000000 0.000000000000000000
-64.229421287776872873  0.000000000000000000 0.000000000000000000
-64.219421287859930203  0.000000000000000000 0.000000000000000000
-64.209421287942973322  0.000000000000000000 0.000000000000000000
-64.199421288026016441  0.000000000000000000 0.000000000000000000
-64.189421288109073771  0.000000000000000000 0.000000000000000000
-64.179421288192116890  0.000000000000000000 0.000000000000000000
-64.169421288275174220  0.000000000000000000 0.000000000000000000
-64.159421288358217339  0.000000000000000000 0.000000000000000000
-64.149421288441260458  0.000000000000000000 0.000000000000000000
-64.139421288524317788  0.000000000000000000 0.000000000000000000
-64.129421288607360907  0.000000000000000000 0.000000000000000000
-64.119421288690418237  0.000000000000000000 0.000000000000000000
-64.109421288773461356  0.000000000000000000 0.000000000000000000
-64.099421288856518686  0.000000000000000000 0.000000000000000000
-64.089421288939561805  0.000000000000000000 0.000000000000000000
-64.079421289022604924  0.000000000000000000 0.000000000000000000
-64.069421289105662254  0.000000000000000000 0.000000000000000000
-64.059421289188705373  0.000000000000000000 0.000000000000000000
-64.049421289271762703  0.000000000000000000 0.000000000000000000
-64.039421289354805822  0.000000000000000000 0.000000000000000000
-64.029421289437848941  0.000000000000000000 0.000000000000000000
-64.019421289520906271  0.000000000000000000 0.000000000000000000
-64.009421289603949390  0.000000000000000000 0.000000000000000000
-63.999421289686999614  0.000000000000000000 0.000000000000000000
-63.989421289770049839  0.000000000000000000 0.000000000000000000
-63.979421289853100063  0.000000000000000000 0.000000000000000000
-63.969421289936150288  0.000000000000000000 0.000000000000000000
-63.959421290019193407  0.000000000000000000 0.000000000000000000
-63.949421290102243631  0.000000000000000000 0.000000000000000000
-63.939421290185293856  0.000000000000000000 0.000000000000000000
-63.929421290268344080  0.000000000000000000 0.000000000000000000
-63.919421290351394305  0.000000000000000000 0.000000000000000000
-63.909421290434444529  0.000000000000000000 0.000000000000000000
-63.899421290517487648  0.000000000000000000 0.000000000000000000
-63.889421290600537873  0.000000000000000000 0.000000000000000000
-63.879421290683588097  0.000000000000000000 0.000000000000000000
-63.869421290766638322  0.000000000000000000 0.000000000000000000
-63.859421290849688546  0.000000000000000000 0.000000000000000000
-63.849421290932738771  0.000000000000000000 0.000000000000000000
-63.839421291015781890  0.000000000000000000 0.000000000000000000
-63.829421291098832114  0.000000000000000000 0.000000000000000000
-63.819421291181882339  0.000000000000000000 0.000000000000000000
-63.809421291264932563  0.000000000000000000 0.000000000000000000
-63.799421291347982788  0.000000000000000000 0.000000000000000000
-63.789421291431025907  0.000000000000000000 0.000000000000000000
-63.779421291514076131  0.000000000000000000 0.000000000000000000
-63.769421291597126356  0.000000000000000000 0.000000000000000000
-63.759421291680176580  0.000000000000000000 0.000000000000000000
-63.749421291763226805  0.000000000000000000 0.000000000000000000
-63.739421291846277029  0.000000000000000000 0.000000000000000000
-63.729421291929320148  0.000000000000000000 0.000000000000000000
-63.719421292012370373  0.000000000000000000 0.000000000000000000
-63.709421292095420597  0.000000000000000000 0.000000000000000000
-63.699421292178470821  0.000000000000000000 0.000000000000000000
-63.689421292261521046  0.000000000000000000 0.000000000000000000
-63.679421292344564165  0.000000000000000000 0.000000000000000000
-63.669421292427614389  0.000000000000000000 0.000000000000000000
-63.659421292510664614  0.000000000000000000 0.000000000000000000
-63.649421292593714838  0.000000000000000000 0.000000000000000000
-63.639421292676765063  0.000000000000000000 0.000000000000000000
-63.629421292759815287  0.000000000000000000 0.000000000000000000
-63.619421292842858406  0.000000000000000000 0.000000000000000000
-63.609421292925908631  0.000000000000000000 0.000000000000000000
-63.599421293008958855  0.000000000000000000 0.000000000000000000
-63.589421293092009080  0.000000000000000000 0.000000000000000000
-63.579421293175059304  0.000000000000000000 0.000000000000000000
-63.569421293258102423  0.000000000000000000 0.000000000000000000
-63.559421293341166859  0.000000000000000000 0.000000000000000000
-63.549421293424217083  0.000000000000000000 0.000000000000000000
-63.539421293507267308  0.000000000000000000 0.000000000000000000
-63.529421293590310427  0.000000000000000000 0.000000000000000000
-63.519421293673360651  0.000000000000000000 0.000000000000000000
-63.509421293756410876  0.000000000000000000 0.000000000000000000
-63.499421293839461100  0.000000000000000000 0.000000000000000000
-63.489421293922511325  0.000000000000000000 0.000000000000000000
-63.479421294005561549  0.000000000000000000 0.000000000000000000
-63.469421294088604668  0.000000000000000000 0.000000000000000000
-63.459421294171654893  0.000000000000000000 0.000000000000000000
-63.449421294254705117  0.000000000000000000 0.000000000000000000
-63.439421294337755342  0.000000000000000000 0.000000000000000000
-63.429421294420805566  0.000000000000000000 0.000000000000000000
-63.419421294503848685  0.000000000000000000 0.000000000000000000
-63.409421294586898910  0.000000000000000000 0.000000000000000000
-63.399421294669949134  0.000000000000000000 0.000000000000000000
-63.389421294752999358  0.000000000000000000 0.000000000000000000
-63.379421294836049583  0.000000000000000000 0.000000000000000000
-63.369421294919099807  0.000000000000000000 0.000000000000000000
-63.359421295002142926  0.000000000000000000 0.000000000000000000
-63.349421295085193151  0.000000000000000000 0.000000000000000000
-63.339421295168243375  0.000000000000000000 0.000000000000000000
-63.329421295251293600  0.000000000000000000 0.000000000000000000
-63.319421295334343824  0.000000000000000000 0.000000000000000000
-63.309421295417386943  0.000000000000000000 0.000000000000000000
-63.299421295500437168  0.000000000000000000 0.000000000000000000
-63.289421295583487392  0.000000000000000000 0.000000000000000000
-63.279421295666537617  0.000000000000000000 0.000000000000000000
-63.269421295749587841  0.000000000000000000 0.000000000000000000
-63.259421295832638066  0.000000000000000000 0.000000000000000000
-63.249421295915681185  0.000000000000000000 0.000000000000000000
-63.239421295998731409  0.000000000000000000 0.000000000000000000
-63.229421296081781634  0.000000000000000000 0.000000000000000000
-63.219421296164831858  0.000000000000000000 0.000000000000000000
-63.209421296247882083  0.000000000000000000 0.000000000000000000
-63.199421296330932307  0.000000000000000000 0.000000000000000000
-63.189421296413975426  0.000000000000000000 0.000000000000000000
-63.179421296497025651  0.000000000000000000 0.000000000000000000
-63.169421296580075875  0.000000000000000000 0.000000000000000000
-63.159421296663126100  0.000000000000000000 0.000000000000000000
-63.149421296746176324  0.000000000000000000 0.000000000000000000
-63.139421296829219443  0.000000000000000000 0.000000000000000000
-63.129421296912269668  0.000000000000000000 0.000000000000000000
-63.119421296995319892  0.000000000000000000 0.000000000000000000
-63.109421297078370117  0.000000000000000000 0.000000000000000000
-63.099421297161420341  0.000000000000000000 0.000000000000000000
-63.089421297244470566  0.000000000000000000 0.000000000000000000
-63.079421297327513685  0.000000000000000000 0.000000000000000000
-63.069421297410563909  0.000000000000000000 0.000000000000000000
-63.059421297493614134  0.000000000000000000 0.000000000000000000
-63.049421297576664358  0.000000000000000000 0.000000000000000000
-63.039421297659714583  0.000000000000000000 0.000000000000000000
-63.029421297742771912  0.000000000000000000 0.000000000000000000
-63.019421297825822137  0.000000000000000000 0.000000000000000000
-63.009421297908872361  0.000000000000000000 0.000000000000000000
-62.999421297991922586  0.000000000000000000 0.000000000000000000
-62.989421298074965705  0.000000000000000000 0.000000000000000000
-62.979421298158015929  0.000000000000000000 0.000000000000000000
-62.969421298241066154  0.000000000000000000 0.000000000000000000
-62.959421298324116378  0.000000000000000000 0.000000000000000000
-62.949421298407166603  0.000000000000000000 0.000000000000000000
-62.939421298490216827  0.000000000000000000 0.000000000000000000
-62.929421298573259946  0.000000000000000000 0.000000000000000000
-62.919421298656310171  0.000000000000000000 0.000000000000000000
-62.909421298739360395  0.000000000000000000 0.000000000000000000
-62.899421298822410620  0.000000000000000000 0.000000000000000000
-62.889421298905460844  0.000000000000000000 0.000000000000000000
-62.879421298988503963  0.000000000000000000 0.000000000000000000
-62.869421299071554188  0.000000000000000000 0.000000000000000000
-62.859421299154604412  0.000000000000000000 0.000000000000000000
-62.849421299237654637  0.000000000000000000 0.000000000000000000
-62.839421299320704861  0.000000000000000000 0.000000000000000000
-62.829421299403755086  0.000000000000000000 0.000000000000000000
-62.819421299486798205  0.000000000000000000 0.000000000000000000
-62.809421299569848429  0.000000000000000000 0.000000000000000000
-62.799421299652898654  0.000000000000000000 0.000000000000000000
-62.789421299735948878  0.000000000000000000 0.000000000000000000
-62.779421299818999103  0.000000000000000000 0.000000000000000000
-62.769421299902042222  0.000000000000000000 0.000000000000000000
-62.759421299985092446  0.000000000000000000 0.000000000000000000
-62.749421300068142671  0.000000000000000000 0.000000000000000000
-62.739421300151192895  0.000000000000000000 0.000000000000000000
-62.729421300234243120  0.000000000000000000 0.000000000000000000
-62.719421300317293344  0.000000000000000000 0.000000000000000000
-62.709421300400336463  0.000000000000000000 0.000000000000000000
-62.699421300483386688  0.000000000000000000 0.000000000000000000
-62.689421300566436912  0.000000000000000000 0.000000000000000000
-62.679421300649487137  0.000000000000000000 0.000000000000000000
-62.669421300732537361  0.000000000000000000 0.000000000000000000
-62.659421300815580480  0.000000000000000000 0.000000000000000000
-62.649421300898630705  0.000000000000000000 0.000000000000000000
-62.639421300981680929  0.000000000000000000 0.000000000000000000
-62.629421301064731153  0.000000000000000000 0.000000000000000000
-62.619421301147781378  0.000000000000000000 0.000000000000000000
-62.609421301230831602  0.000000000000000000 0.000000000000000000
-62.599421301313874721  0.000000000000000000 0.000000000000000000
-62.589421301396924946  0.000000000000000000 0.000000000000000000
-62.579421301479975170  0.000000000000000000 0.000000000000000000
-62.569421301563025395  0.000000000000000000 0.000000000000000000
-62.559421301646075619  0.000000000000000000 0.000000000000000000
-62.549421301729125844  0.000000000000000000 0.000000000000000000
-62.539421301812168963  0.000000000000000000 0.000000000000000000
-62.529421301895219187  0.000000000000000000 0.000000000000000000
-62.519421301978269412  0.000000000000000000 0.000000000000000000
-62.509421302061319636  0.000000000000000000 0.000000000000000000
-62.499421302144369861  0.000000000000000000 0.000000000000000000
-62.489421302227412980  0.000000000000000000 0.000000000000000000
-62.479421302310463204  0.000000000000000000 0.000000000000000000
-62.469421302393513429  0.000000000000000000 0.000000000000000000
-62.459421302476563653  0.000000000000000000 0.000000000000000000
-62.449421302559613878  0.000000000000000000 0.000000000000000000
-62.439421302642664102  0.000000000000000000 0.000000000000000000
-62.429421302725707221  0.000000000000000000 0.000000000000000000
-62.419421302808757446  0.000000000000000000 0.000000000000000000
-62.409421302891807670  0.000000000000000000 0.000000000000000000
-62.399421302974857895  0.000000000000000000 0.000000000000000000
-62.389421303057908119  0.000000000000000000 0.000000000000000000
-62.379421303140951238  0.000000000000000000 0.000000000000000000
-62.369421303224001463  0.000000000000000000 0.000000000000000000
-62.359421303307051687  0.000000000000000000 0.000000000000000000
-62.349421303390101912  0.000000000000000000 0.000000000000000000
-62.339421303473152136  0.000000000000000000 0.000000000000000000
-62.329421303556202361  0.000000000000000000 0.000000000000000000
-62.319421303639245480  0.000000000000000000 0.000000000000000000
-62.309421303722295704  0.000000000000000000 0.000000000000000000
-62.299421303805345929  0.000000000000000000 0.000000000000000000
-62.289421303888396153  0.000000000000000000 0.000000000000000000
-62.279421303971446378  0.000000000000000000 0.000000000000000000
-62.269421304054489497  0.000000000000000000 0.000000000000000000
-62.259421304137539721  0.000000000000000000 0.000000000000000000
-62.249421304220589946  0.000000000000000000 0.000000000000000000
-62.239421304303640170  0.000000000000000000 0.000000000000000000
-62.229421304386690394  0.000000000000000000 0.000000000000000000
-62.219421304469740619  0.000000000000000000 0.000000000000000000
-62.209421304552783738  0.000000000000000000 0.000000000000000000
-62.199421304635833962  0.000000000000000000 0.000000000000000000
-62.189421304718884187  0.000000000000000000 0.000000000000000000
-62.179421304801934411  0.000000000000000000 0.000000000000000000
-62.169421304884984636  0.000000000000000000 0.000000000000000000
-62.159421304968027755  0.000000000000000000 0.000000000000000000
-62.149421305051077979  0.000000000000000000 0.000000000000000000
-62.139421305134128204  0.000000000000000000 0.000000000000000000
-62.129421305217178428  0.000000000000000000 0.000000000000000000
-62.119421305300228653  0.000000000000000000 0.000000000000000000
-62.109421305383278877  0.000000000000000000 0.000000000000000000
-62.099421305466321996  0.000000000000000000 0.000000000000000000
-62.089421305549372221  0.000000000000000000 0.000000000000000000
-62.079421305632422445  0.000000000000000000 0.000000000000000000
-62.069421305715472670  0.000000000000000000 0.000000000000000000
-62.059421305798522894  0.000000000000000000 0.000000000000000000
-62.049421305881566013  0.000000000000000000 0.000000000000000000
-62.039421305964616238  0.000000000000000000 0.000000000000000000
-62.029421306047666462  0.000000000000000000 0.000000000000000000
-62.019421306130716687  0.000000000000000000 0.000000000000000000
-62.009421306213766911  0.000000000000000000 0.000000000000000000
-61.999421306296817136  0.000000000000000000 0.000000000000000000
-61.989421306379860255  0.000000000000000000 0.000000000000000000
-61.979421306462910479  0.000000000000000000 0.000000000000000000
-61.969421306545960704  0.000000000000000000 0.000000000000000000
-61.959421306629010928  0.000000000000000000 0.000000000000000000
-61.949421306712061153  0.000000000000000000 0.000000000000000000
-61.939421306795111377  0.000000000000000000 0.000000000000000000
-61.929421306878154496  0.000000000000000000 0.000000000000000000
-61.919421306961204721  0.000000000000000000 0.000000000000000000
-61.909421307044254945  0.000000000000000000 0.000000000000000000
-61.899421307127305170  0.000000000000000000 0.000000000000000000
-61.889421307210355394  0.000000000000000000 0.000000000000000000
-61.879421307293398513  0.000000000000000000 0.000000000000000000
-61.869421307376448738  0.000000000000000000 0.000000000000000000
-61.859421307459498962  0.000000000000000000 0.000000000000000000
-61.849421307542549187  0.000000000000000000 0.000000000000000000
-61.839421307625599411  0.000000000000000000 0.000000000000000000
-61.829421307708649636  0.000000000000000000 0.000000000000000000
-61.819421307791692755  0.000000000000000000 0.000000000000000000
-61.809421307874742979  0.000000000000000000 0.000000000000000000
-61.799421307957793204  0.000000000000000000 0.000000000000000000
-61.789421308040843428  0.000000000000000000 0.000000000000000000
-61.779421308123893652  0.000000000000000000 0.000000000000000000
-61.769421308206936772  0.000000000000000000 0.000000000000000000
-61.759421308289986996  0.000000000000000000 0.000000000000000000
-61.749421308373037220  0.000000000000000000 0.000000000000000000
-61.739421308456087445  0.000000000000000000 0.000000000000000000
-61.729421308539137669  0.000000000000000000 0.000000000000000000
-61.719421308622187894  0.000000000000000000 0.000000000000000000
-61.709421308705231013  0.000000000000000000 0.000000000000000000
-61.699421308788281237  0.000000000000000000 0.000000000000000000
-61.689421308871331462  0.000000000000000000 0.000000000000000000
-61.679421308954381686  0.000000000000000000 0.000000000000000000
-61.669421309037431911  0.000000000000000000 0.000000000000000000
-61.659421309120475030  0.000000000000000000 0.000000000000000000
-61.649421309203525254  0.000000000000000000 0.000000000000000000
-61.639421309286575479  0.000000000000000000 0.000000000000000000
-61.629421309369625703  0.000000000000000000 0.000000000000000000
-61.619421309452675928  0.000000000000000000 0.000000000000000000
-61.609421309535726152  0.000000000000000000 0.000000000000000000
-61.599421309618769271  0.000000000000000000 0.000000000000000000
-61.589421309701819496  0.000000000000000000 0.000000000000000000
-61.579421309784869720  0.000000000000000000 0.000000000000000000
-61.569421309867919945  0.000000000000000000 0.000000000000000000
-61.559421309950970169  0.000000000000000000 0.000000000000000000
-61.549421310034013288  0.000000000000000000 0.000000000000000000
-61.539421310117063513  0.000000000000000000 0.000000000000000000
-61.529421310200113737  0.000000000000000000 0.000000000000000000
-61.519421310283163962  0.000000000000000000 0.000000000000000000
-61.509421310366214186  0.000000000000000000 0.000000000000000000
-61.499421310449264411  0.000000000000000000 0.000000000000000000
-61.489421310532307530  0.000000000000000000 0.000000000000000000
-61.479421310615357754  0.000000000000000000 0.000000000000000000
-61.469421310698407979  0.000000000000000000 0.000000000000000000
-61.459421310781458203  0.000000000000000000 0.000000000000000000
-61.449421310864508428  0.000000000000000000 0.000000000000000000
-61.439421310947558652  0.000000000000000000 0.000000000000000000
-61.429421311030615982  0.000000000000000000 0.000000000000000000
-61.419421311113666206  0.000000000000000000 0.000000000000000000
-61.409421311196716431  0.000000000000000000 0.000000000000000000
-61.399421311279759550  0.000000000000000000 0.000000000000000000
-61.389421311362809774  0.000000000000000000 0.000000000000000000
-61.379421311445859999  0.000000000000000000 0.000000000000000000
-61.369421311528910223  0.000000000000000000 0.000000000000000000
-61.359421311611960448  0.000000000000000000 0.000000000000000000
-61.349421311695010672  0.000000000000000000 0.000000000000000000
-61.339421311778053791  0.000000000000000000 0.000000000000000000
-61.329421311861104016  0.000000000000000000 0.000000000000000000
-61.319421311944154240  0.000000000000000000 0.000000000000000000
-61.309421312027204465  0.000000000000000000 0.000000000000000000
-61.299421312110254689  0.000000000000000000 0.000000000000000000
-61.289421312193304914  0.000000000000000000 0.000000000000000000
-61.279421312276348033  0.000000000000000000 0.000000000000000000
-61.269421312359398257  0.000000000000000000 0.000000000000000000
-61.259421312442448482  0.000000000000000000 0.000000000000000000
-61.249421312525498706  0.000000000000000000 0.000000000000000000
-61.239421312608548931  0.000000000000000000 0.000000000000000000
-61.229421312691592050  0.000000000000000000 0.000000000000000000
-61.219421312774642274  0.000000000000000000 0.000000000000000000
-61.209421312857692499  0.000000000000000000 0.000000000000000000
-61.199421312940742723  0.000000000000000000 0.000000000000000000
-61.189421313023792948  0.000000000000000000 0.000000000000000000
-61.179421313106843172  0.000000000000000000 0.000000000000000000
-61.169421313189886291  0.000000000000000000 0.000000000000000000
-61.159421313272936516  0.000000000000000000 0.000000000000000000
-61.149421313355986740  0.000000000000000000 0.000000000000000000
-61.139421313439036965  0.000000000000000000 0.000000000000000000
-61.129421313522087189  0.000000000000000000 0.000000000000000000
-61.119421313605130308  0.000000000000000000 0.000000000000000000
-61.109421313688180533  0.000000000000000000 0.000000000000000000
-61.099421313771230757  0.000000000000000000 0.000000000000000000
-61.089421313854280982  0.000000000000000000 0.000000000000000000
-61.079421313937331206  0.000000000000000000 0.000000000000000000
-61.069421314020381431  0.000000000000000000 0.000000000000000000
-61.059421314103424550  0.000000000000000000 0.000000000000000000
-61.049421314186474774  0.000000000000000000 0.000000000000000000
-61.039421314269524999  0.000000000000000000 0.000000000000000000
-61.029421314352575223  0.000000000000000000 0.000000000000000000
-61.019421314435625447  0.000000000000000000 0.000000000000000000
-61.009421314518668567  0.000000000000000000 0.000000000000000000
-60.999421314601718791  0.000000000000000000 0.000000000000000000
-60.989421314684769015  0.000000000000000000 0.000000000000000000
-60.979421314767819240  0.000000000000000000 0.000000000000000000
-60.969421314850869464  0.000000000000000000 0.000000000000000000
-60.959421314933919689  0.000000000000000000 0.000000000000000000
-60.949421315016962808  0.000000000000000000 0.000000000000000000
-60.939421315100013032  0.000000000000000000 0.000000000000000000
-60.929421315183063257  0.000000000000000000 0.000000000000000000
-60.919421315266113481  0.000000000000000000 0.000000000000000000
-60.909421315349163706  0.000000000000000000 0.000000000000000000
-60.899421315432221036  0.000000000000000000 0.000000000000000000
-60.889421315515271260  0.000000000000000000 0.000000000000000000
-60.879421315598321485  0.000000000000000000 0.000000000000000000
-60.869421315681371709  0.000000000000000000 0.000000000000000000
-60.859421315764414828  0.000000000000000000 0.000000000000000000
-60.849421315847465053  0.000000000000000000 0.000000000000000000
-60.839421315930515277  0.000000000000000000 0.000000000000000000
-60.829421316013565502  0.000000000000000000 0.000000000000000000
-60.819421316096615726  0.000000000000000000 0.000000000000000000
-60.809421316179665951  0.000000000000000000 0.000000000000000000
